,word,num_words,ranking,ranking_log,num_words_log
0,a,2334,0,0.0,7.75533881285
1,que,2132,1,0.0,7.66481578529
2,de,2058,2,0.69314718056,7.62948991639
3,e,1818,3,1.09861228867,7.50549227474
4,o,1551,4,1.38629436112,7.34665516318
5,um,922,5,1.60943791243,6.82654522356
6,não,911,6,1.79175946923,6.81454289726
7,do,680,7,1.94591014906,6.52209279817
8,da,644,8,2.07944154168,6.4676987261
9,uma,629,9,2.19722457734,6.4441312567
10,com,559,10,2.30258509299,6.32614947316
11,é,477,11,2.3978952728,6.16751649089
12,os,461,12,2.48490664979,6.133398043
13,era,433,13,2.56494935746,6.070737728
14,se,425,14,2.63905732962,6.05208916892
15,eu,414,15,2.7080502011,6.02586597383
16,as,404,16,2.77258872224,6.00141487796
17,me,373,17,2.83321334406,5.92157841964
18,ao,347,18,2.8903717579,5.84932477995
19,para,336,19,2.94443897917,5.81711115996
20,em,335,20,2.99573227355,5.81413053183
21,mas,324,21,3.04452243772,5.78074351579
22,à,287,22,3.09104245336,5.65948221576
23,na,282,23,3.13549421593,5.64190707094
24,mais,273,24,3.17805383035,5.60947179518
25,no,254,25,3.21887582487,5.53733426702
26,como,253,26,3.25809653802,5.53338948873
27,por,252,27,3.295836866,5.52942908751
28,Não,246,28,3.33220451018,5.50533153593
29,dos,228,29,3.36729582999,5.42934562895
30,ou,228,30,3.40119738166,5.42934562895
31,ele,211,31,3.43398720449,5.35185813348
32,Virgília,191,32,3.4657359028,5.25227342805
33,meu,185,33,3.49650756147,5.22035582508
34,minha,172,34,3.52636052462,5.14749447681
35,O,167,35,3.55534806149,5.11799381242
36,das,166,36,3.58351893846,5.11198778836
37,A,163,37,3.61091791264,5.09375020081
38,CAPÍTULO,160,38,3.63758615973,5.07517381523
39,/,159,39,3.66356164613,5.06890420222
40,lhe,159,40,3.68887945411,5.06890420222
41,muito,152,41,3.7135720667,5.02388052085
42,depois,149,42,3.73766961828,5.00394630595
